"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.115974846E2,4.544672905E1,-7.375058798E1,2.115216305E1,2.624226093E0,1.011062012E2,2.813365459E0,1.599652648E0
2.125973686E2,4.544672692E1,-7.375057244E1,2.056211021E1,1.364928246E0,1.011224518E2,2.905969620E0,1.612769723E0
2.135974076E2,4.544672588E1,-7.375056462E1,2.010048857E1,1.381312251E0,1.012042542E2,2.902574062E0,1.620253801E0
2.145973986E2,4.544672387E1,-7.375054906E1,1.993886308E1,2.422721624E0,1.027243042E2,2.789754868E0,1.609297514E0
2.155974646E2,4.544671554E1,-7.375051915E1,1.996292498E1,3.693137646E0,1.125981369E2,2.755752802E0,1.604332685E0
2.165974426E2,4.544669386E1,-7.375047537E1,2.002581411E1,4.665375710E0,1.335497894E2,2.758335590E0,1.598276138E0
2.175974606E2,4.544665627E1,-7.375043988E1,2.029387051E1,5.332376957E0,1.567366028E2,2.780629635E0,1.596330643E0
2.185975116E2,4.544661096E1,-7.375042437E1,1.988087894E1,5.437135220E0,1.666480713E2,2.757927418E0,1.586476922E0
2.195974636E2,4.544656215E1,-7.375041197E1,1.952224948E1,6.234624386E0,1.686809082E2,2.895140648E0,1.577096105E0
2.205975176E2,4.544649955E1,-7.375039717E1,1.914949480E1,7.714017868E0,1.693315430E2,2.967864513E0,1.571742415E0
2.215975056E2,4.544642326E1,-7.375037571E1,1.934572266E1,9.085583687E0,1.694671631E2,3.097790718E0,1.586419821E0
2.225975786E2,4.544633648E1,-7.375034909E1,1.974950959E1,9.692490578E0,1.694584808E2,3.095438004E0,1.600432158E0
2.235975356E2,4.544624644E1,-7.375032510E1,2.008508027E1,9.854528427E0,1.693229828E2,3.085608482E0,1.594954014E0
2.245975506E2,4.544615829E1,-7.375029990E1,2.041495185E1,9.884886742E0,1.690377655E2,3.040321112E0,1.596532345E0
2.255975506E2,4.544606878E1,-7.375027336E1,2.046110101E1,1.013337040E1,1.689338074E2,3.042855263E0,1.597422719E0
2.265975886E2,4.544597765E1,-7.375024594E1,2.037828792E1,1.055303478E1,1.691515961E2,3.021953344E0,1.596323729E0
2.275976776E2,4.544588249E1,-7.375021965E1,2.032902490E1,1.103541470E1,1.693300629E2,2.998929262E0,1.597272396E0
2.285975916E2,4.544578250E1,-7.375019240E1,2.035717471E1,1.107472801E1,1.691543427E2,2.979004622E0,1.595088959E0
2.295976346E2,4.544568384E1,-7.375016628E1,2.049149761E1,1.082231808E1,1.689817200E2,2.967161417E0,1.593935132E0
2.305976396E2,4.544559009E1,-7.375014141E1,2.042666580E1,1.044050884E1,1.687988739E2,2.850878477E0,1.597604275E0
2.315976536E2,4.544550027E1,-7.375011519E1,2.041641116E1,1.032035542E1,1.686250153E2,2.875310421E0,1.601698756E0
2.325976696E2,4.544541012E1,-7.375008687E1,2.043883595E1,1.026784420E1,1.686935120E2,3.039578676E0,1.609688163E0
2.335976616E2,4.544532078E1,-7.375006007E1,2.039246265E1,1.018565464E1,1.687678833E2,3.033486843E0,1.607288003E0
2.345976876E2,4.544523210E1,-7.375003534E1,2.036496602E1,9.880948067E0,1.686064911E2,3.089181900E0,1.607057333E0
2.355977056E2,4.544514652E1,-7.375001334E1,2.031711361E1,9.632310867E0,1.684042664E2,3.121692657E0,1.611529946E0
2.365977206E2,4.544506315E1,-7.374999330E1,2.034663890E1,9.505602837E0,1.686281586E2,3.084941864E0,1.610575795E0
2.375977496E2,4.544497996E1,-7.374997094E1,2.015725671E1,8.924799919E0,1.689391632E2,3.064449787E0,1.609077811E0
2.385977426E2,4.544490248E1,-7.374994847E1,1.990914999E1,7.894536495E0,1.694432678E2,3.026177645E0,1.608996391E0
2.395977676E2,4.544483703E1,-7.374993301E1,1.999495229E1,6.162821770E0,1.748768921E2,3.140919685E0,1.621376276E0
2.405978006E2,4.544478823E1,-7.374994133E1,1.985551569E1,4.979484558E0,1.931743011E2,3.542203426E0,1.637698412E0
2.415977746E2,4.544475339E1,-7.374997548E1,1.973272803E1,4.607085705E0,2.207937622E2,3.632810354E0,1.652511716E0
2.425977846E2,4.544473345E1,-7.375002950E1,1.954099636E1,4.831543922E0,2.461339417E2,3.694225788E0,1.676258326E0
2.435978116E2,4.544472922E1,-7.375010037E1,1.921942764E1,5.975150108E0,2.678667603E2,3.569521666E0,1.689008832E0
2.445978246E2,4.544474203E1,-7.375019093E1,1.879387211E1,7.209511757E0,2.815449219E2,3.541703939E0,1.693041682E0
2.455978536E2,4.544476160E1,-7.375029091E1,1.854163431E1,7.970374107E0,2.841689758E2,3.524881363E0,1.704215407E0
2.465978686E2,4.544478364E1,-7.375039901E1,1.831575709E1,8.331210136E0,2.847188110E2,3.339591980E0,1.712451816E0
2.475978586E2,4.544480391E1,-7.375051104E1,1.831970432E1,8.792406082E0,2.853211060E2,3.310124874E0,1.717002392E0
2.485978926E2,4.544482957E1,-7.375062636E1,1.863035333E1,9.196935654E0,2.854632263E2,3.389028311E0,1.694772840E0
2.495978886E2,4.544485596E1,-7.375074481E1,1.859205794E1,9.449784279E0,2.832045288E2,3.060168266E0,1.688978314E0
2.505980946E2,4.544487603E1,-7.375086544E1,1.831491407E1,9.502137184E0,2.774464722E2,3.013050079E0,1.668625236E0
2.515979186E2,4.544488258E1,-7.375098589E1,1.804548085E1,9.321550369E0,2.711052246E2,2.872156143E0,1.636447310E0
2.525979366E2,4.544487887E1,-7.375110562E1,1.772684636E1,9.126866341E0,2.639664612E2,2.941652775E0,1.642592430E0
2.535979666E2,4.544486689E1,-7.375122139E1,1.750670905E1,8.653577805E0,2.601941528E2,3.081668377E0,1.639518619E0
2.555979876E2,4.544483587E1,-7.375141370E1,1.847959017E1,6.479159355E0,2.590761414E2,2.213161707E0,1.632972240E0
2.565979906E2,4.544482377E1,-7.375148806E1,1.805089171E1,5.383397102E0,2.590213013E2,2.715859413E0,1.637225628E0
2.575980126E2,4.544481426E1,-7.375155026E1,1.880424644E1,4.811263084E0,2.588816223E2,2.404535532E0,1.665601373E0
2.585980366E2,4.544480598E1,-7.375160400E1,1.943182194E1,3.862795591E0,2.589753418E2,2.182440281E0,1.695070505E0
2.595980656E2,4.544479855E1,-7.375163822E1,1.956796657E1,2.049143076E0,2.591101685E2,2.050284863E0,1.703027248E0
2.605980836E2,4.544479659E1,-7.375166189E1,1.954358931E1,1.764341354E0,2.591617432E2,1.925737619E0,1.721820474E0
2.615980536E2,4.544479266E1,-7.375169198E1,1.933464974E1,2.989386559E0,2.591824341E2,1.840227842E0,1.737470150E0
2.625980856E2,4.544478608E1,-7.375174025E1,1.886945946E1,4.805551529E0,2.592235718E2,2.928571701E0,1.760689139E0
2.635980826E2,4.544477435E1,-7.375181449E1,1.876290884E1,6.593841553E0,2.591925964E2,2.613018274E0,1.757385731E0
2.645981316E2,4.544476046E1,-7.375190013E1,1.836301374E1,7.109539032E0,2.591779175E2,2.438775063E0,1.763728738E0
2.655981166E2,4.544474930E1,-7.375198972E1,1.830525130E1,7.093558788E0,2.593534546E2,2.246143341E0,1.744833112E0
2.665981246E2,4.544473870E1,-7.375208424E1,1.847454397E1,8.003317833E0,2.597130737E2,2.052144289E0,1.723870754E0
2.675981516E2,4.544472591E1,-7.375219348E1,1.825784183E1,9.239727974E0,2.596481323E2,1.939447165E0,1.684205770E0
2.685981586E2,4.544470846E1,-7.375231532E1,1.806732292E1,1.026855659E1,2.593418274E2,1.833403945E0,1.688204765E0
2.695981746E2,4.544469108E1,-7.375244818E1,1.822500220E1,1.057250690E1,2.591720886E2,1.738820076E0,1.685628295E0
2.705982516E2,4.544467388E1,-7.375257931E1,1.813444375E1,9.962643623E0,2.592651672E2,1.663364887E0,1.689698339E0
2.715982016E2,4.544465785E1,-7.375269993E1,1.826533461E1,8.902139664E0,2.591630554E2,1.607919216E0,1.685293794E0
2.725982236E2,4.544464462E1,-7.375280261E1,1.828871684E1,6.883008003E0,2.590516052E2,1.550853610E0,1.670205951E0
2.735982266E2,4.544463415E1,-7.375286823E1,1.846724123E1,4.043953896E0,2.589848633E2,1.485344768E0,1.699419141E0
2.745982456E2,4.544463020E1,-7.375289945E1,1.867007566E1,1.867952585E0,2.589500122E2,2.692708015E0,1.681757212E0
2.755982586E2,4.544462536E1,-7.375292886E1,1.861992965E1,2.221349478E0,2.588849182E2,2.404516935E0,1.673510432E0
2.765982636E2,4.544462214E1,-7.375296532E1,1.866959494E1,3.370601416E0,2.588653259E2,2.217463255E0,1.675279498E0
2.775982826E2,4.544461342E1,-7.375302091E1,1.875652612E1,5.353289604E0,2.589501953E2,2.073060751E0,1.696601748E0
2.785983026E2,4.544460037E1,-7.375309986E1,1.835708295E1,7.151225567E0,2.590771790E2,1.969463110E0,1.700914621E0
2.795983116E2,4.544458790E1,-7.375318689E1,1.815351534E1,7.162744045E0,2.592246704E2,2.831945658E0,1.687529087E0
2.805983206E2,4.544457676E1,-7.375327508E1,1.807969858E1,7.532844543E0,2.594229736E2,2.486358404E0,1.672801852E0
2.815983406E2,4.544456505E1,-7.375337368E1,1.780067968E1,8.068870544E0,2.595244446E2,2.212281227E0,1.657164574E0
2.825983636E2,4.544455104E1,-7.375347922E1,1.777631900E1,8.623795509E0,2.598711243E2,2.022854567E0,1.671366692E0
2.835983856E2,4.544453923E1,-7.375358941E1,1.799631892E1,8.917584419E0,2.620737915E2,1.891539097E0,1.676936150E0
2.845984426E2,4.544453176E1,-7.375370306E1,1.839679658E1,8.823030472E0,2.666919861E2,1.798721194E0,1.672916651E0
2.855984046E2,4.544453049E1,-7.375381552E1,1.868180634E1,9.125222206E0,2.726277161E2,1.713698864E0,1.680717587E0
2.865984326E2,4.544453696E1,-7.375393638E1,1.857661642E1,9.596511841E0,2.773973083E2,1.601306200E0,1.655120134E0
2.875984616E2,4.544454721E1,-7.375406787E1,1.867816504E1,1.014869213E1,2.795347290E2,1.483918786E0,1.637129545E0
2.885984256E2,4.544456348E1,-7.375420316E1,1.867500383E1,1.095530319E1,2.817871399E2,2.370260000E0,1.619068384E0
2.895984436E2,4.544458435E1,-7.375434577E1,1.863826284E1,1.172762394E1,2.839217834E2,2.076342344E0,1.611042142E0
2.905985006E2,4.544460908E1,-7.375448981E1,1.934065465E1,1.154101944E1,2.849110107E2,1.833545923E0,1.663890958E0
2.915984886E2,4.544463376E1,-7.375463230E1,1.966620050E1,1.170513535E1,2.841050415E2,1.662809014E0,1.623518586E0
2.925985326E2,4.544465842E1,-7.375477969E1,2.001098680E1,1.195147419E1,2.831618042E2,1.537698746E0,1.620956182E0
2.935985156E2,4.544468060E1,-7.375493039E1,2.040590312E1,1.207711887E1,2.825739746E2,2.386581182E0,1.606197119E0
2.945985246E2,4.544470394E1,-7.375508273E1,2.090766378E1,1.221922112E1,2.824456482E2,2.082871914E0,1.619939089E0
2.955985416E2,4.544472499E1,-7.375523702E1,2.117559046E1,1.218260956E1,2.821870117E2,2.578726292E0,1.629271746E0
2.965986046E2,4.544474583E1,-7.375539219E1,2.105942345E1,1.196479797E1,2.818769226E2,2.169156551E0,1.630330205E0
2.975985576E2,4.544476802E1,-7.375554052E1,2.079946582E1,1.147475433E1,2.817051697E2,1.921010971E0,1.617106199E0
2.985985876E2,4.544478806E1,-7.375567805E1,2.092734028E1,1.053258324E1,2.816597290E2,2.548530102E0,1.621878505E0
2.995985806E2,4.544480369E1,-7.375580005E1,2.142327962E1,9.113974571E0,2.816232910E2,2.135131836E0,1.608965874E0
3.005986446E2,4.544481962E1,-7.375590522E1,2.195551293E1,7.575009346E0,2.815668030E2,1.926236868E0,1.617378354E0
3.015986206E2,4.544483473E1,-7.375598785E1,2.175606478E1,5.617983818E0,2.815643616E2,1.788170815E0,1.634817958E0
3.025986346E2,4.544484198E1,-7.375604512E1,2.186580538E1,3.398066759E0,2.815578918E2,1.670364857E0,1.642082453E0
3.035986496E2,4.544484628E1,-7.375607518E1,2.240478715E1,1.921462893E0,2.815097351E2,2.698603630E0,1.683266044E0
3.045986606E2,4.544484883E1,-7.375609619E1,2.238537241E1,2.016961336E0,2.814729309E2,2.821494341E0,1.689715505E0
3.055986766E2,4.544485381E1,-7.375612378E1,2.234937775E1,2.838556528E0,2.813746033E2,2.828981876E0,1.687201381E0
3.065986926E2,4.544486081E1,-7.375616969E1,2.226937086E1,4.424727917E0,2.813807373E2,2.848668575E0,1.693103433E0
3.075987096E2,4.544487199E1,-7.375623782E1,2.222651872E1,5.919058323E0,2.816620178E2,2.754498720E0,1.665793896E0
3.085987396E2,4.544488566E1,-7.375632394E1,2.209309705E1,6.350195408E0,2.819794617E2,2.741212368E0,1.668601871E0
3.095987326E2,4.544489720E1,-7.375641725E1,2.163645733E1,6.650506973E0,2.822353821E2,2.805599689E0,1.665131450E0
3.105987406E2,4.544491185E1,-7.375651246E1,2.149662710E1,7.511078835E0,2.819718323E2,2.755464077E0,1.650518298E0
3.115987556E2,4.544492682E1,-7.375661941E1,2.148828404E1,8.604052544E0,2.813822937E2,2.768911839E0,1.633119464E0
3.125987676E2,4.544494401E1,-7.375674298E1,2.155338423E1,9.727775574E0,2.808183289E2,2.824518681E0,1.630997181E0
3.135987866E2,4.544496354E1,-7.375688012E1,2.140070133E1,1.023964787E1,2.807756042E2,2.753036976E0,1.620018601E0
3.145987966E2,4.544498047E1,-7.375701686E1,2.138649112E1,1.031750202E1,2.807767639E2,2.722044468E0,1.612809658E0
3.155988196E2,4.544499703E1,-7.375715491E1,2.148037455E1,1.064236450E1,2.808699646E2,2.749792814E0,1.610078573E0
3.165988546E2,4.544501583E1,-7.375729539E1,2.134870465E1,1.085672760E1,2.807308960E2,2.718734264E0,1.601051688E0
3.175988636E2,4.544503464E1,-7.375743422E1,2.127211059E1,1.055003262E1,2.806641541E2,2.721647739E0,1.594963193E0
3.185988746E2,4.544505323E1,-7.375756601E1,2.141654408E1,1.028499603E1,2.807172546E2,2.728228807E0,1.595931053E0
3.195988586E2,4.544507165E1,-7.375769458E1,2.126289155E1,1.004732132E1,2.821693726E2,2.699319839E0,1.592895508E0
3.205988706E2,4.544509170E1,-7.375781472E1,2.129661128E1,9.540703773E0,2.842756653E2,2.705374241E0,1.594646335E0
3.215988876E2,4.544511097E1,-7.375792805E1,2.144345490E1,9.255570412E0,2.847803955E2,2.737183094E0,1.598236084E0
3.225988986E2,4.544513005E1,-7.375803642E1,2.179347246E1,9.015959740E0,2.838025513E2,2.751836061E0,1.600388288E0
3.235989146E2,4.544514644E1,-7.375814462E1,2.184425689E1,8.539131165E0,2.826938782E2,2.813403606E0,1.612457275E0
3.245989396E2,4.544516142E1,-7.375824119E1,2.197961651E1,7.592514038E0,2.822643127E2,2.789804459E0,1.613564134E0
3.255989766E2,4.544517443E1,-7.375832469E1,2.186251592E1,6.085936546E0,2.802598877E2,2.865056753E0,1.624504328E0
3.265989556E2,4.544517985E1,-7.375839348E1,2.140297744E1,5.565068245E0,2.638677368E2,2.835737944E0,1.620364189E0
3.275989666E2,4.544516419E1,-7.375845266E1,2.121129412E1,5.185928345E0,2.397129822E2,2.831823349E0,1.617152691E0
3.285989986E2,4.544512820E1,-7.375849656E1,2.098268599E1,5.060870171E0,2.125473328E2,2.922669888E0,1.626191020E0
3.295990186E2,4.544507821E1,-7.375851387E1,2.075010932E1,5.475794315E0,1.881318512E2,2.982638359E0,1.610130906E0
3.305990326E2,4.544501984E1,-7.375850622E1,2.066789612E1,6.437410831E0,1.738884888E2,2.928193569E0,1.600452781E0
3.315990276E2,4.544495274E1,-7.375848787E1,2.076477526E1,7.597127914E0,1.702233887E2,2.891016483E0,1.599255085E0
3.325990756E2,4.544487946E1,-7.375846318E1,2.075540932E1,8.666054726E0,1.689913483E2,2.984079123E0,1.617019296E0
3.335990716E2,4.544479807E1,-7.375843194E1,2.099194337E1,9.182907104E0,1.681873322E2,3.108441830E0,1.635646462E0
3.345990886E2,4.544471715E1,-7.375839872E1,2.079783353E1,9.132044792E0,1.676957550E2,3.281214952E0,1.653000236E0
3.355990856E2,4.544463488E1,-7.375836580E1,2.062165977E1,9.438256264E0,1.673766022E2,3.450252533E0,1.669918418E0
3.365991216E2,4.544454937E1,-7.375833708E1,2.035425775E1,9.624156952E0,1.677067413E2,3.281774282E0,1.675843239E0
3.375991126E2,4.544446060E1,-7.375830876E1,2.018892340E1,9.431743622E0,1.674741516E2,3.262068987E0,1.679745317E0
3.385991576E2,4.544437500E1,-7.375827952E1,2.001964210E1,9.426161766E0,1.663929291E2,3.191831112E0,1.676906466E0
3.395991616E2,4.544429146E1,-7.375825126E1,2.002647642E1,9.291780472E0,1.662567291E2,3.098257542E0,1.678141832E0
3.405991726E2,4.544420890E1,-7.375822488E1,1.967476941E1,9.338007927E0,1.670261993E2,3.027269363E0,1.671596527E0
3.415991866E2,4.544412631E1,-7.375819971E1,1.953481185E1,9.333238602E0,1.675164032E2,3.021479845E0,1.663406849E0
3.425991776E2,4.544404302E1,-7.375817528E1,1.955016226E1,9.577991486E0,1.678433990E2,3.009487152E0,1.664246798E0
3.435991956E2,4.544395602E1,-7.375815160E1,1.939130700E1,1.004873562E1,1.682515869E2,2.981484890E0,1.659301400E0
3.445992196E2,4.544386517E1,-7.375812753E1,1.893024558E1,1.046083260E1,1.688667145E2,2.979900122E0,1.652524710E0
3.455992306E2,4.544376920E1,-7.375810127E1,1.867793668E1,1.094337749E1,1.700784912E2,2.957246065E0,1.648710132E0
3.465992656E2,4.544367137E1,-7.375807784E1,1.851612337E1,1.129109764E1,1.709854126E2,2.985766411E0,1.645454884E0
3.475992756E2,4.544356904E1,-7.375805516E1,1.850808852E1,1.162191772E1,1.711537476E2,3.204642296E0,1.656851053E0
3.485992586E2,4.544346422E1,-7.375803175E1,1.862553578E1,1.180873203E1,1.708562012E2,3.276093006E0,1.662220716E0
3.495992776E2,4.544335786E1,-7.375800692E1,1.859213682E1,1.173323154E1,1.701534271E2,3.297443390E0,1.670934200E0
3.505992796E2,4.544325493E1,-7.375797965E1,1.907720083E1,1.140983391E1,1.700005646E2,3.371991634E0,1.683209062E0
3.515993116E2,4.544315643E1,-7.375795196E1,1.967752959E1,1.075991058E1,1.698675079E2,3.379668236E0,1.696210265E0
3.525993196E2,4.544306678E1,-7.375792674E1,1.999976398E1,9.662274361E0,1.695352325E2,3.357471228E0,1.711521864E0
3.535993326E2,4.544298939E1,-7.375790448E1,2.030998816E1,8.805432320E0,1.692512207E2,3.319339752E0,1.721703410E0
3.545993456E2,4.544291951E1,-7.375788282E1,2.053747999E1,7.553805828E0,1.690323029E2,3.323760986E0,1.730595589E0
3.555993586E2,4.544286337E1,-7.375786669E1,2.048715416E1,6.056854725E0,1.731614075E2,3.487176895E0,1.735804796E0
3.565993646E2,4.544281134E1,-7.375786738E1,2.094997736E1,5.736704826E0,1.892892609E2,3.314908504E0,1.696627140E0
3.575993876E2,4.544277002E1,-7.375789882E1,2.059442861E1,5.671909332E0,2.112010803E2,3.100232363E0,1.663074493E0
3.585993916E2,4.544273472E1,-7.375794944E1,2.083253461E1,5.692370415E0,2.337187042E2,3.111868382E0,1.662079453E0
3.595994036E2,4.544271543E1,-7.375803063E1,2.024939411E1,6.323235512E0,2.534705658E2,3.389608383E0,1.651973128E0
3.605994246E2,4.544270777E1,-7.375812401E1,1.978162869E1,7.046797276E0,2.628455200E2,3.465183735E0,1.639750242E0
3.615994606E2,4.544270693E1,-7.375822502E1,1.954857503E1,7.714882374E0,2.650634460E2,3.553158760E0,1.640262365E0
3.625994496E2,4.544270641E1,-7.375833146E1,1.925230888E1,8.054743767E0,2.662986145E2,3.462994099E0,1.633932471E0
3.635994586E2,4.544270577E1,-7.375843640E1,1.901634571E1,7.860876560E0,2.665513000E2,3.016450882E0,1.625267029E0
3.645994796E2,4.544270254E1,-7.375853464E1,1.890474024E1,7.300305367E0,2.669554443E2,2.917959213E0,1.619004369E0
3.655995026E2,4.544269887E1,-7.375862142E1,1.881160781E1,6.607571602E0,2.672716370E2,2.840865850E0,1.614040732E0
3.665994936E2,4.544269563E1,-7.375869807E1,1.892217003E1,5.358013630E0,2.675541687E2,2.878892422E0,1.616091609E0
3.675995516E2,4.544269230E1,-7.375875114E1,1.922541764E1,3.442943573E0,2.677752686E2,2.855384588E0,1.613520145E0
3.685995376E2,4.544269261E1,-7.375877249E1,1.931711345E1,1.994383335E0,2.677923889E2,2.835099936E0,1.614582539E0
3.695996366E2,4.544269213E1,-7.375878578E1,1.946076509E1,2.035552979E0,2.649109497E2,2.861233473E0,1.615141869E0
3.705995666E2,4.544268657E1,-7.375881204E1,1.959763175E1,3.040998697E0,2.530192261E2,3.000724554E0,1.616994023E0
3.715995756E2,4.544267165E1,-7.375884562E1,1.979282113E1,3.898759842E0,2.317478027E2,3.088410616E0,1.624809146E0
3.725995826E2,4.544264114E1,-7.375887382E1,1.969755317E1,4.701869965E0,2.066419067E2,3.135921478E0,1.623706579E0
3.735996946E2,4.544259275E1,-7.375888567E1,1.960087424E1,5.426667213E0,1.877233429E2,3.111623526E0,1.619550586E0
3.745996686E2,4.544254118E1,-7.375888345E1,1.947271034E1,5.576910496E0,1.755369568E2,2.913174629E0,1.612937450E0
3.755996366E2,4.544248591E1,-7.375886664E1,1.920131779E1,6.694643974E0,1.701439209E2,2.834768295E0,1.602658868E0
3.765996856E2,4.544241976E1,-7.375884134E1,1.912580376E1,7.908763885E0,1.680787964E2,2.828538656E0,1.599264979E0
3.775997046E2,4.544234459E1,-7.375881006E1,1.904313501E1,8.583537102E0,1.679866791E2,2.868533611E0,1.599714994E0
3.785997076E2,4.544226643E1,-7.375878335E1,1.937014825E1,8.367306709E0,1.682192993E2,2.835693359E0,1.610345364E0
3.795996836E2,4.544219304E1,-7.375875907E1,1.967921644E1,7.796766758E0,1.678952637E2,2.844749689E0,1.614494920E0
3.805996906E2,4.544212963E1,-7.375873469E1,1.989710315E1,6.589984894E0,1.679248199E2,2.850271225E0,1.628782988E0
3.815997056E2,4.544208077E1,-7.375871574E1,1.979849799E1,4.371337891E0,1.682245331E2,2.868791342E0,1.635126114E0
3.825997626E2,4.544205540E1,-7.375870429E1,1.958783163E1,2.511201143E0,1.685092773E2,3.431709766E0,1.641232967E0
3.835997356E2,4.544203778E1,-7.375869960E1,1.962168959E1,2.231746435E0,1.751739502E2,3.558406591E0,1.656206369E0
3.845997556E2,4.544201728E1,-7.375870493E1,1.934028688E1,2.865712643E0,1.908340759E2,3.637284994E0,1.657572627E0
3.855997696E2,4.544199155E1,-7.375872606E1,1.922784837E1,3.483258247E0,2.124814453E2,3.488621712E0,1.666136622E0
3.865998736E2,4.544197496E1,-7.375877463E1,1.855217473E1,4.590621948E0,2.395677185E2,3.101907492E0,1.655930638E0
3.875998636E2,4.544196073E1,-7.375883802E1,1.844554224E1,4.778168201E0,2.577999878E2,3.053618908E0,1.641924143E0
3.885998036E2,4.544195791E1,-7.375890355E1,1.822690187E1,5.341272831E0,2.642693176E2,3.027308941E0,1.647636056E0
3.895998196E2,4.544195797E1,-7.375898974E1,1.835535993E1,6.543407440E0,2.658153381E2,2.924273968E0,1.643548846E0
3.905998346E2,4.544195923E1,-7.375908447E1,1.857739394E1,7.450479507E0,2.665543518E2,2.889993668E0,1.635829329E0
3.915998566E2,4.544195955E1,-7.375918748E1,1.869425597E1,8.191837311E0,2.667628174E2,2.910188675E0,1.645174265E0
3.925998596E2,4.544195490E1,-7.375929912E1,1.870177519E1,8.324433327E0,2.667888489E2,2.835473299E0,1.648355246E0
3.935998836E2,4.544194845E1,-7.375940499E1,1.872063516E1,7.522857189E0,2.665499573E2,2.853298664E0,1.640620351E0
3.945999156E2,4.544194390E1,-7.375948841E1,1.852625947E1,5.569430351E0,2.663892822E2,3.081886292E0,1.650845885E0
3.955999456E2,4.544194033E1,-7.375954810E1,1.851912366E1,3.458453655E0,2.662756958E2,3.227883816E0,1.670980453E0
3.965999076E2,4.544193838E1,-7.375958322E1,1.875214863E1,2.793601751E0,2.661514587E2,3.337215424E0,1.677655339E0
3.975999856E2,4.544193656E1,-7.375961430E1,1.942603420E1,3.156034231E0,2.660868530E2,3.302741051E0,1.674592972E0
3.985999626E2,4.544193253E1,-7.375965932E1,1.986386923E1,4.687447548E0,2.660222168E2,3.067293167E0,1.657198191E0
3.995999756E2,4.544192922E1,-7.375972169E1,2.028312760E1,6.121853352E0,2.659803772E2,2.892830849E0,1.640441298E0
4.006000076E2,4.544192520E1,-7.375980288E1,2.081345660E1,6.126461506E0,2.660999451E2,2.875258684E0,1.633084178E0
4.015999926E2,4.544192184E1,-7.375988220E1,2.097586958E1,6.546505928E0,2.666014404E2,2.800630569E0,1.626129508E0
4.026000406E2,4.544191733E1,-7.375997019E1,2.095162687E1,7.362076759E0,2.671347351E2,2.800103903E0,1.624222040E0
4.036000196E2,4.544191264E1,-7.376006759E1,2.065085141E1,8.294367790E0,2.674514160E2,2.821155787E0,1.622355819E0
4.046000336E2,4.544190791E1,-7.376017909E1,2.053071261E1,9.214991570E0,2.675476685E2,2.891387939E0,1.619130373E0
4.056000526E2,4.544190165E1,-7.376030350E1,2.034244271E1,9.908453941E0,2.672887268E2,3.035257339E0,1.631047130E0
4.066000586E2,4.544189559E1,-7.376043372E1,2.013092618E1,1.029877663E1,2.668106079E2,3.088101387E0,1.649250150E0
4.076000856E2,4.544188913E1,-7.376056642E1,1.997939765E1,1.033531570E1,2.664938049E2,3.147975445E0,1.659227014E0
4.086001016E2,4.544188279E1,-7.376069794E1,1.999856698E1,1.030686760E1,2.665349731E2,3.099552631E0,1.669824839E0
4.096000816E2,4.544187585E1,-7.376082976E1,2.021775005E1,1.009201241E1,2.666778259E2,2.869795799E0,1.657079220E0
4.106001386E2,4.544186972E1,-7.376095270E1,2.030097494E1,9.393404007E0,2.664935913E2,3.057497263E0,1.663824677E0
4.116001196E2,4.544186421E1,-7.376106304E1,2.027322978E1,8.172291756E0,2.663280640E2,3.145156384E0,1.675280094E0
4.126001486E2,4.544186076E1,-7.376115691E1,2.016959850E1,6.615028858E0,2.662422485E2,3.109562874E0,1.675384045E0
4.136001586E2,4.544185885E1,-7.376122662E1,2.034524469E1,4.915408611E0,2.662202759E2,3.137470245E0,1.676656246E0
4.146001586E2,4.544185772E1,-7.376127299E1,2.049289983E1,2.766629457E0,2.662207031E2,3.151327133E0,1.684771061E0
4.156001836E2,4.544185824E1,-7.376129675E1,2.029521365E1,2.222477913E0,2.656766357E2,3.134291172E0,1.685616732E0
4.166001976E2,4.544185613E1,-7.376132181E1,2.025158911E1,2.712723494E0,2.586601868E2,3.114632130E0,1.684790850E0
4.176001976E2,4.544184753E1,-7.376135048E1,1.991480693E1,3.234534502E0,2.430600128E2,3.070840359E0,1.683403850E0
4.186002296E2,4.544182440E1,-7.376138791E1,1.962440840E1,4.319292545E0,2.222043915E2,3.180167198E0,1.684188604E0
4.196002276E2,4.544178488E1,-7.376141674E1,1.921034000E1,5.091520309E0,2.001737061E2,3.105395317E0,1.688670874E0
4.206002476E2,4.544173452E1,-7.376142072E1,1.923566670E1,5.127105236E0,1.834715729E2,3.022072792E0,1.650339961E0
4.216002476E2,4.544167955E1,-7.376141123E1,1.884174418E1,6.023518085E0,1.740440216E2,2.962556362E0,1.640167117E0
4.226002916E2,4.544161604E1,-7.376139098E1,1.891456023E1,7.299904823E0,1.688708191E2,2.892174721E0,1.628824592E0
4.236003186E2,4.544154283E1,-7.376136566E1,1.913313377E1,8.529229164E0,1.677987671E2,2.912597418E0,1.634732008E0
4.246003016E2,4.544145652E1,-7.376133726E1,1.934808957E1,9.741669655E0,1.681314240E2,2.886823177E0,1.633864403E0
4.256003216E2,4.544136161E1,-7.376130427E1,1.944122662E1,1.053327274E1,1.680753784E2,2.870267391E0,1.637291908E0
